id,name,description,category,tier,country,city,address,coordinates_lat,coordinates_lng,food_type,dining_type,seating,parking_available,surroundings,reviews,tags ,image_url,status,created_by,created_at,updated_at,photos,status_tag,slug
82a902cd-05f6-4781-875f-48d3ebc1a671,Bistro Proti Proudu,"A real originator of Prague’s stripped-down modern brunch movement and still quietly doing it better than many newer polished copies. Minimalist, no-fuss, consistently tasty and deserving extra respect for helping set the tone long before this style was everywhere.",Bistro,Great,Czech Republic,Prague,"Prague 8 - Karlin, Prague",50.097,14.434,Coffee,Breakfast,outdoor,FALSE,,,"[""Coffee"",""Baked goods"",""Brunch"",""Breakfast"",""Drinks""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-proti-proudu/web-0.jpg,published,,2026-04-21 08:16:39.430575+00,2026-04-21 08:30:51.734006+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-proti-proudu/web-0.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-proti-proudu/web-1.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-proti-proudu/ai-0.png""]",verified,p7-proti-proudu
1c2acf75-d95d-4d1c-a33e-9981499ff0a4,L’objet trouve,"Stylish new café-bar hybrid that feels part Paris wine nook, part design-conscious Letna hideaway. Coffee and daytime lounging gradually give way to evening glasses and small plates, making this one of those flexible newer spots that works from slow afternoon to casual drinks.",Bar,New,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Wine,Drinks,indoor,FALSE,,,"[""Cafe""]",,published,,2026-04-21 08:17:05.402883+00,2026-04-21 08:17:05.402883+00,[],verified,p7-lobjet-trouve
d9a353a7-1c66-433b-817d-fffd2c392c21,Hong Kong,"Long-standing Karlín favorite for Asian fusion that manages to stay lively and consistently good years after the hype wave that launched it. Loud room, bold flavors and a menu people keep returning to for dependable group dinners and energetic nights out.",Restaurant,Great,Czech Republic,Prague,"Prague 8 - Karlin, Prague",50.097,14.434,Asian Fusion,Dinner,indoor,FALSE,,,"[""Asian Fusion""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-hong-kong/ai-0.png,published,,2026-04-21 08:36:26.736819+00,2026-04-21 08:36:26.736819+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-hong-kong/ai-0.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-hong-kong/ai-1.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-hong-kong/ai-2.png""]",verified,p7-hong-kong
9e681178-612c-4409-b140-7a4b54092ca9,Cobra,"Trend-setting Holešovice bar known more for lazy brunches and energetic evenings than serious dining. Come for drinks, people and atmosphere first, with select food options if you need to stay longer (or till sunrise).",Bar,Great,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Cocktails,Drinks,indoor,FALSE,,,"[""Breakfast"",""Beer"",""Dinner"",""Bar"",""Wine"",""Cocktails""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cobra/web-0.jpg,published,,2026-04-21 08:13:00.902611+00,2026-04-21 08:13:09.592702+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cobra/web-0.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cobra/web-1.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cobra/web-2.jpg""]",verified,p7-cobra
4997c6a1-e931-4955-9d28-c97e0b247674,Crème de la Crème - Holečovice,"Fourth outpost of one of Prague’s most trusted artisan gelato name and  the richest scoops in town. Come here for dense creamy ice cream with classic, vegan and sorbet flavors .",Ice Cream Shop,Great,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Ice Cream,Dessert,outdoor,FALSE,,,"[""Ice cream""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-creme-de-la-creme-holesovice/web-0.webp,published,,2026-04-21 08:13:11.344447+00,2026-04-21 08:13:11.344447+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-creme-de-la-creme-holesovice/web-0.webp"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-creme-de-la-creme-holesovice/web-1.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-creme-de-la-creme-holesovice/web-2.jpg""]",verified,p7-creme-de-la-creme-holesovice
3f083c16-cc13-4d34-8719-900ae1c4c97a,Pizza Gatto Nero Letná,"New Holešovice opening from the proven Gatto Nero pizza group bringing classic Italian pies into a raw brick space. Small garden, relaxed atmosphere and an easy reliable stop when pizza is the mood.",Restaurant,New,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Pizza,Dinner,indoor,FALSE,,,"[""Pizza""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-pizza-gato-nero/web-0.jpg,published,,2026-04-21 08:13:12.10952+00,2026-04-21 08:13:12.10952+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-pizza-gato-nero/web-0.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-pizza-gato-nero/web-1.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-pizza-gato-nero/web-2.jpg""]",verified,p7-pizza-gato-nero
ee4de79d-2eb0-47ed-8cb9-2de8457fd364,Kafe Francin,"Solid neighborhood café that covers more than just coffee with its own roasting, homemade desserts and easy breakfast or lunch options. Good for takeaway, good for sitting down, and one of those dependable local spots you end up returning to.",Cafe,Great,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Coffee,Breakfast,indoor,FALSE,,,"[""Coffee"",""Breakfast"",""Lunch""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cafe-francin/web-0.jpg,published,,2026-04-21 08:13:13.306029+00,2026-04-21 08:13:13.306029+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cafe-francin/web-0.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cafe-francin/web-1.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-cafe-francin/web-2.jpg""]",verified,p7-cafe-francin
150ca16b-40a6-43ae-9a8d-b7c17f1e69ff,Osada,"One of Holešovice’s top all-round neighborhood staples long before the area became overcrowded with options. Big garden, extra downstairs space, strong coffee, cakes, breakfast, lunch and easy evening drinks — the kind of place that works almost any time of day.",Bistro,Exceptional,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Coffee,Breakfast,outdoor,FALSE,,,"[""Coffee"",""Breakfast"",""Lunch""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-osada/web-0.jpg,published,,2026-04-21 08:13:14.860503+00,2026-04-21 08:13:14.860503+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-osada/web-0.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-osada/web-1.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-osada/web-2.jpg""]",verified,p7-osada
bab60fb1-ff97-42d2-973a-8897ac3be662,Slice Slice Baby Pizza Club,"Prague’s top pizza after the team first built a cult following through slices and deliveries. Now a full Pizza Club in Holešovice with the city’s most unique and strongest options, our go to pick when only serious pizza will do.",Restaurant,Exceptional,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Pizza,Dinner,outdoor,FALSE,,,"[""Pizza""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-slice-slice-baby/web-0.png,published,,2026-04-21 08:13:16.818551+00,2026-04-21 08:13:16.818551+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-slice-slice-baby/web-0.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-slice-slice-baby/web-1.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-slice-slice-baby/web-2.jpg""]",verified,p7-slice-slice-baby
f759f017-d5cd-4a96-89be-914f6dcf8027,Sip Sip Hooray,"New bar from the Slice Slice crew bringing the same cool-factor into cocktails, natural wine and proper beer on tap. Stylish interior, lively crowd and a strong early pick when you want drinks somewhere that still feels a bit ahead of the curve.",Bar,New,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,Cocktails,Drinks,indoor,FALSE,,,"[""Beer"",""Bar"",""Wine"",""Cocktails""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-sip-sip/web-0.jpg,published,,2026-04-21 08:13:17.501874+00,2026-04-21 08:13:17.501874+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-sip-sip/web-0.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-sip-sip/web-1.jpg"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-sip-sip/web-2.jpg""]",verified,p7-sip-sip
574e857e-89cc-4486-beb1-4e0ed721348b,Big Smokers,"Top choice BBQ respecting Czech local source food. Industrial setting, you can even count on Thanksgiving. From the team behind Mr. HotDog and Sandwhich Rodeo",Restaurant,Exceptional,Czech Republic,Prague,"Prague 7, Prague",50.097,14.434,BBQ,Dinner,outdoor,FALSE,,,"[""Dinner""]",https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-big-smokers/web-0.png,published,,2026-04-21 08:13:20.971747+00,2026-04-21 08:13:20.971747+00,"[""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-big-smokers/web-0.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-big-smokers/web-1.png"",""https://dgncazemkqsfxxmjdrbq.supabase.co/storage/v1/object/public/establishment-photos/seed/p7-big-smokers/web-2.png""]",verified,p7-big-smokers
